起点id,终点id,序号,起点,终点,路径,长度/m
2143,2140,4,5,62,"5,b,61,6,62",1912
2144,2141,1,5,62,"5,6,62",779
2144,2141,2,5,62,"5,b,61,c,62",1777
2144,2141,3,5,62,"5,6,61,c,62",1804
2144,2141,4,5,62,"5,b,61,6,62",1912
2148,2147,1,61,62,"61,c,62",790
2148,2147,2,61,62,"61,6,62",925
2148,2147,3,61,62,"61,b,5,6,62",1766
2148,2147,4,61,62,"61,6,5,6,62",1793
2152,2151,1,61,62,"61,c,62",790
2152,2151,2,61,62,"61,6,62",925
2152,2151,3,61,62,"61,b,5,6,62",1766
2152,2151,4,61,62,"61,6,5,6,62",1793
2155,2153,1,61,62,"61,c,62",790
2155,2153,2,61,62,"61,6,62",925
2155,2153,3,61,62,"61,b,5,6,62",1766
2155,2153,4,61,62,"61,6,5,6,62",1793
76793,76796,1,2,5,"2,a,b,5",1380
76793,76796,2,2,5,"2,a,b,61,b,5",2314
76793,76796,3,2,5,"2,a,b,61,6,5",2341
76793,76796,4,2,5,"2,a,b,a,b,5",2380
2590,2593,1,2,5,"2,a,b,5",1380
2590,2593,2,2,5,"2,a,b,61,b,5",2314
2590,2593,3,2,5,"2,a,b,61,6,5",2341
2590,2593,4,2,5,"2,a,b,a,b,5",2380
2591,2595,1,2,5,"2,a,b,5",1380
2591,2595,2,2,5,"2,a,b,61,b,5",2314
2591,2595,3,2,5,"2,a,b,61,6,5",2341
2591,2595,4,2,5,"2,a,b,a,b,5",2380
2597,2599,1,5,62,"5,6,62",779
2597,2599,2,5,62,"5,b,61,c,62",1777
2597,2599,3,5,62,"5,6,61,c,62",1804
2597,2599,4,5,62,"5,b,61,6,62",1912
2599,2598,1,5,62,"5,6,62",779
2599,2598,2,5,62,"5,b,61,c,62",1777
2599,2598,3,5,62,"5,6,61,c,62",1804
2599,2598,4,5,62,"5,b,61,6,62",1912
2611,2612,1,12,62,"12,1,f,e,c,62",3176
2611,2612,2,12,62,"12,1,f,e,d,61,c,62",3374
2611,2612,3,12,62,"12,1,f,e,f,e,c,62",3436
2611,2612,4,12,62,"12,1,f,e,d,61,6,62",3509
2613,2608,1,5,62,"5,6,62",779
2613,2608,2,5,62,"5,b,61,c,62",1777
2613,2608,3,5,62,"5,6,61,c,62",1804
2613,2608,4,5,62,"5,b,61,6,62",1912
2610,2607,1,2,5,"2,a,b,5",1380
2610,2607,2,2,5,"2,a,b,61,b,5",2314
2610,2607,3,2,5,"2,a,b,61,6,5",2341
2610,2607,4,2,5,"2,a,b,a,b,5",2380
2614,2615,1,2,5,"2,a,b,5",1380
2614,2615,2,2,5,"2,a,b,61,b,5",2314
2614,2615,3,2,5,"2,a,b,61,6,5",2341
2614,2615,4,2,5,"2,a,b,a,b,5",2380
2620,2625,1,2,61,"2,a,b,61",1327
2620,2625,2,2,61,"2,f,e,d,61",1463
2620,2625,3,2,61,"2,a,d,61",1536
2620,2625,4,2,61,"2,f,e,c,61",1665
2636,2642,1,2,61,"2,a,b,61",1327
2636,2642,2,2,61,"2,f,e,d,61",1463
2636,2642,3,2,61,"2,a,d,61",1536
2636,2642,4,2,61,"2,f,e,c,61",1665
2649,2645,1,2,5,"2,a,b,5",1380
2649,2645,2,2,5,"2,a,b,61,b,5",2314
2649,2645,3,2,5,"2,a,b,61,6,5",2341
2649,2645,4,2,5,"2,a,b,a,b,5",2380
2646,2650,1,2,61,"2,a,b,61",1327
2646,2650,2,2,61,"2,f,e,d,61",1463
2646,2650,3,2,61,"2,a,d,61",1536
2646,2650,4,2,61,"2,f,e,c,61",1665
2658,2655,1,13,61,"13,1,f,e,d,61",2718
2658,2655,2,13,61,"13,1,f,e,c,61",2920
2658,2655,3,13,61,"13,1,2,a,b,61",2938
2658,2655,4,13,61,"13,1,f,e,f,e,d,61",2978
2656,2659,1,13,61,"13,1,f,e,d,61",2718
2656,2659,2,13,61,"13,1,f,e,c,61",2920
2656,2659,3,13,61,"13,1,2,a,b,61",2938
2656,2659,4,13,61,"13,1,f,e,f,e,d,61",2978
2660,2653,1,1,62,"1,f,e,c,62",2425
2660,2653,2,1,62,"1,f,e,d,61,c,62",2623
2660,2653,3,1,62,"1,f,e,f,e,c,62",2685
2660,2653,4,1,62,"1,f,e,d,61,6,62",2758
2662,2663,1,2,61,"2,a,b,61",1327
2662,2663,2,2,61,"2,f,e,d,61",1463
2662,2663,3,2,61,"2,a,d,61",1536
2662,2663,4,2,61,"2,f,e,c,61",1665
2671,2672,1,2,61,"2,a,b,61",1327
2671,2672,2,2,61,"2,f,e,d,61",1463
2671,2672,3,2,61,"2,a,d,61",1536
2671,2672,4,2,61,"2,f,e,c,61",1665
2679,2673,1,61,62,"61,c,62",790
2679,2673,2,61,62,"61,6,62",925
2679,2673,3,61,62,"61,b,5,6,62",1766
2679,2673,4,61,62,"61,6,5,6,62",1793
2684,2682,1,2,5,"2,a,b,5",1380
2684,2682,2,2,5,"2,a,b,61,b,5",2314
2684,2682,3,2,5,"2,a,b,61,6,5",2341
2684,2682,4,2,5,"2,a,b,a,b,5",2380
2687,2688,1,5,61,"5,b,61",987
2687,2688,2,5,61,"5,6,61",1014
2687,2688,3,5,61,"5,6,62,c,61",1569
2687,2688,4,5,61,"5,6,62,6,61",1704
2693,2695,1,13,2,"13,1,2",1611
2693,2695,2,13,2,"13,1,f,2",2365
2693,2695,3,13,2,"13,1,f,e,f,2",2625
2693,2695,4,13,2,"13,1,f,e,f,e,f,2",2885
2722,2718,1,5,61,"5,b,61",987
2722,2718,2,5,61,"5,6,61",1014
2722,2718,3,5,61,"5,6,62,c,61",1569
2722,2718,4,5,61,"5,6,62,6,61",1704
2723,2724,1,5,61,"5,b,61",987
2723,2724,2,5,61,"5,6,61",1014
2723,2724,3,5,61,"5,6,62,c,61",1569
2723,2724,4,5,61,"5,6,62,6,61",1704
2732,2725,1,2,62,"2,f,e,c,62",2055
2732,2725,2,2,62,"2,a,b,61,c,62",2117
2732,2725,3,2,62,"2,a,b,5,6,62",2159
2732,2725,4,2,62,"2,a,b,61,6,62",2252
2727,2730,1,2,61,"2,a,b,61",1327
2727,2730,2,2,61,"2,f,e,d,61",1463
2727,2730,3,2,61,"2,a,d,61",1536
2727,2730,4,2,61,"2,f,e,c,61",1665
2729,2731,1,2,61,"2,a,b,61",1327
2729,2731,2,2,61,"2,f,e,d,61",1463
2729,2731,3,2,61,"2,a,d,61",1536
2729,2731,4,2,61,"2,f,e,c,61",1665
2734,2733,1,61,62,"61,c,62",790
2734,2733,2,61,62,"61,6,62",925
